,title,description
0,behind design seattle library,architect joshua take audience dazzle dizzy virtual tour three recent project central library seattle museum plaza louisville charles wyly theater dallas
1,my wish a call architecture,accept ted prize cameron sinclair demonstrate passionate designer architect can respond world house crisis he unveil ted prize wish network improve global live standard through collaborative design
2,my wish a global day film,jehane noujaim unveil her ted prize wish bring world together one day year through power film
3,my wish help me stop pandemic,accept ted prize larry brilliant talk smallpox be eradicate planet call new global system can identify contain pandemic before they spread
4,radical promise interface,jeff han show off cheap scalable computer screen interface may spell end
5,one laptop per child,nicholas negroponte founder mit medium laboratory describe one laptop per child project will build distribute laptop
6,organic design inspire by nature,designer ross lovegrove expound philosophy design offer insight into several extraordinary product include ty nant water bottle go chair
7,birth wikipedia,jimmy wale recall assemble ragtag band volunteer give them tool collaborate create wikipedia online encyclopedia
8,birth learn revolution,in visionary richard baraniuk explain vision behind connexion now call openstax an online education system it cut out textbook allow teacher share modify course material freely anywhere world
9,meet founder blog revolution,found mother blog revolution movable type mena trott talk early day blogging when she realize give regular people power share our live online key build friendlier more connect world
10,why love why cheat,anthropologist helen fisher take tricky topic love explain it evolution it biochemical foundation it social importance she close warn potential disaster inherent antidepressant abuse
11,meet future cancer research,eva vertes only when she give discus her journey toward study medicine her drive understand root cancer alzheimer s
12,how mobile phone can fight poverty,iqbal quadir tell experience a kid poor bangladesh later a banker new york lead him start mobile phone operator connect million rural bangladeshi become champion development
13,invest africa own solution,jacqueline novogratz applaud world heighten interest africa poverty but argue persuasively new approach
14,why should invest free press,a free press paper magazine radio tv blog backbone any true democracy vital watchdog business sasa vucinic journalist belgrade talk new fund which support medium by sell free press bond
15,how rebuild break state,ashraf ghani passionate powerful emphasize necessity both economic investment design ingenuity rebuild break state follow by conversation ted curator chris anderson future afghanistan
16,why do i ski north pole,arctic explorer ben saunders recount harrow solo ski trek north pole complete engage anecdote gorgeous photo video
17,my wish three action africa,musician activist bono accept ted prize rivet argue aid africa just another celebrity cause global emergency
18,my wish manufacture landscape green education,accept ted prize photographer edward burtynsky make wish image stun landscape document humanity impact world help persuade million join global conversation sustainability
19,my wish three unusual medical invention,accept ted prize inventor robert fischell make three wish redesign portable device treat migraine find new cure clinical depression reform medical malpractice system
20,how jury be fool by statistic,oxford mathematician peter donnelly reveal common mistake human make interpret statistic devastate impact these error can have outcome criminal trial
21,accelerate power technology,inventor entrepreneur visionary ray kurzweil explain abundant ground detail why by will have human brain nanobots will be operate your consciousness
