,title,id,text
0,بازی فکر,3014,بازی فکر جمله بازی نام اساس تمرکز انسان انجام جمله بازی فکر موارد اشاره پنتاگو شطرنج نرد بکر دیدار قاتل هشت پای ورق بازی بیست سوالی نقطه بازی مافیا بازی سودوکو جدول کلمات متقاطع مکعب روبیک چامپ بازی تخته بازی ویدیو رایانه آتاری پانویس پانویس بازی خانگی بازی خرد سرگرم خرد رده بازی فکر رده مهارت
1,شهرستان مهاباد,3016,جعبه شهرستان ایران نام رسم شهرستان مهاباد عرض جغرافیایی جغرافیایی تصویر اندازه تصویر برچسب تصویر استان آذربایجان غرب نام قدیم سال شهرستان جمعیت نفر رشدجمعیت تراکم جمعیت زبان کردی مذهب مساحت کیلومتر مربع ارتفاع میانگین دما میانگین بارش سالانه شمارروزهای یخبندان فرماندار شماره وب شهر مهاباد سخ خلیفان بخش مرکزی مهاباد مرکزی سخ خلیفان مهاباد خلیفان شهرستان مهاباد کردی مه هاباد شهرستان مردم کردنشین
2,ویکی پدیا حساب ساخت#ساز,3017,وپ حساب ایجاد حساب کاربر ویکی پدیا حساب ساخت#ساز خواندن مقالات ویکی پدیا نیاز حساب کاربر داشت#دار ویرایش ویکی پدیا اکثر موارد حساب کاربر داشت#دار حساب کاربر ویکی پدیا انجام ویرایش ورود سامانه خاطر مزایا کاربر ویکی توصیه قطع دسترس
3,دریاکنار رک,3021,منبع پرونده بندانگشت نمایی دریاکنار رک
4,استان بویره,3022,استان الجزائر نام استان بویره نقشه پرونده کشور الجزائر مساحت جمعیت تراکم جمعیت شماره استان شماره تلفن فرمانداری‌ها شهرستان کد پست بویره نام استان دهم کشور الجزائر شهرستان شهرستان استان قرارند البویر الترک ایت لعزیز ال خضر قروم معال بودربال بوکرام الزبربر قادری عمر جباحی سوق الخمیس المقرانی بئر اغبالو الروراو الخبوزی
5,تلمسان,3023,تلمسان تلمسان شهر موقعیت تلمسان داخل استان تلمسان موقعیت تلمسان نقشه الجزایر فهرست کشور مستقل کشور استان الجزایر استان استان تلمسان تلمسان شهرستان الجزایر تلمسان سرشماری
6,استان ادرار,3026,استان الجزائر نام استان ادرار نقشه پرونده کشور الجزائر مساحت جمعیت تراکم جمعیت شماره استان شماره تلفن فرمانداری‌ها شهرستان کد پست ا درار نام استان بزرگ جنوب غرب الجزایر استان منطقه صحرا آفریقا واقع مرکز استان شهر ا درار جغرافیا خرد استان الجزایر رده استان ادرار رده استان الجزایر ادرار
7,تونس,3027,کاربرد جعبه اطلاعات کشور نام اصل جمهوری تونس نام عادی تونس تصویر پرچم تصویر نشان ملی شعار ملی سامانمندی آزاد دادگر سرود ملی ای پشتیبان کشور نقشه پایتخت تونس بزرگ شهر تونس زبان رسم زبان عرب عرب حاکمان رئیس جمهور سخ وزیر نام حاکمان محمد باج قائد سبسی سخ وسف الشاهد مساحت جمعیت شاخص توسعه انسان واحد پول دینار دینار تونس کد واحد پول منطقه زمان منطقه زمان تابستان
8,آفریقا شمال,3029,پرونده چپ آفریقا شمال طرح جغرافیا جهان سازمان ملل متحد منطقه مرتبط جغرافیایی سخ چپ راست صحرا غرب مراکش الجزایر تونس سخ لیبی مصر سودان سودان جنوبی راست چپ چاد نیجر مالی موریتانی قاره آفریقا شمال صحرا آفریقا قرار آفریقا شمال مرز دقیق ناحیه تعریف شد#شو درصد مردم آفریقا شمال نژاد سفید مدرک
9,لیبی,3030,روز جعبه اطلاعات کشور نام اصل لیبیا نام فارس رسم دولت لیبی نام عادی لیبی تصویر پرچم تصویر نشان ملی شعار ملی آزاد عدالت مردم سالار سرود ملی سرود ملی لیبی لیبیا لیبیا لیبیا نقشه پایتخت طرابلس لیبی طرابلس بزرگ شهر طرابلس لیبی طرابلس زبان رسم عرب حکومت جمهوری حاکمان شورا ملی انتقالی
10,دریا مدیترانه,3033,پرونده بندانگشت چپ سیما دریا میانه فضا عکس ناسا پرونده انگشتدان چپ ازهم گسیختن قاره پانجه آ شکل قاره دریا مدیترانه دریا مدیترانه دریا میانه درگذشته بحر روم بحر سفید مدخل بحرالروم دانشنامه جهان اسلام دریا یی اقیانوس اطلس متصل شمال توسط اروپا جنوب آفریقا شرق توسط آناتولی شام سرزمین شام فرا گرفت#گیر
11,لاذقیه,3036,لاذقیه الل اذ ق فهرست شهر سوریه شهر
12,استان درعا,3037,استان درعا م حافظ درعا فهرست استان سوریه استان آثار روم درعا
13,مرد,3039,ژانویه مسیر اکراد کاربرد ابهام زدایی روستا نام اکراد اکراد شیراز آرایه تصویر مرد میلیون
14,روزنامه کردی,3041,نشریه ک رد ایران نشریه کردستان میباشد سال سردبیر عبدالرزاق بدرخان وصاحب امتیاری اسماعیل اقای سمیتکو ارومیه منتشر میشد اهالی بوکان بنام ملا محمد قزلجی ترجان ترجانی دستور اسماعیل شکاک سال نام روز ک رد کردی نام کردستان شناخت#شناس ارومیه منتشر گردیده متون روزنامه جریانات روزگاراز جمله جنگ سمکو حکومت شاهنشاه
15,تیروژ,3043,منبع تیروژ کردی کرمانجی نام گاهنامه زبان کردی کرمانجی مارس سال میلاد انتشارات ا ر نس ل منتشر گشت#گرد واژه تیروژ معنی درخشش فروغ پیوند وب تیروژ رده نشریه رده نشریه کردی
16,چیچست,3046,چیچ ست چئی چسته معنی سپید درخشان امروزه روشن دریاچه کجا واقع احتمالا نام دریاچه ایران شرق نام دریاچه اوستا رابطه آناهیتا سرزمین قرار گرفت#گیر رود سیحون گذشت#گذر دریاچه آرال اوستا لفظ وئوروکشه یاد فرض شد#شو دریاچه آرال نام گوناگون دریاچه آرال توانست#توان دریاچه چیچست احتمال دریاچه خارج داشت#دار دین ایران باستان ص
17,کیخسرو,3047,کاربرد پرونده بندانگشت چپ نبرد سپاه ایران رهبر کیخسرو سپاه توران رهبر افراسیاب کیخسرو اساطیر حماسه ایران شاهنامه شاهنامه فردوس فرزند سیاوش پسر کاووس سیاوش فرنگیس فریگیس نوه کاووس پسر کیقباد کیکاووس افراسیاب نامدار شهریار دلاور واژه کیخسرو معنی شاه نیک نام کیخسرو عدالت شهامت سرآمد شاه کیان کیکاووس خوش نام کیکاووس شاهنامه اعمال موذیانه
18,استان بورگاس,3049,استان بورگاس سخ استان بولوار آلکو بوگوریدی استان بورگاس بلغارستان
19,مکتشف جهان,3055,تغییرمسیر فهرست جغرافی دانان
