,id,title,text
0,3014,بازی فکر,بازی فکر جمله بازی نام اساس تمرکز انسان انجام جمله بازی فکر موارد اشاره پنتاگو شطرنج نرد بکر دیدار قاتل هشت پای ورق بازی بیست سوالی نقطه بازی مافیا بازی سودوکو جدول کلمات متقاطع مکعب روبیک چامپ بازی تخته بازی ویدیو رایانه آتاری پانویس پانویس بازی خانگی بازی خرد سرگرم خرد رده بازی فکر رده مهارت
1,3016,شهرستان مهاباد,جعبه شهرستان ایران نام رسم شهرستان مهاباد عرض جغرافیایی جغرافیایی تصویر اندازه تصویر برچسب تصویر استان آذربایجان غرب نام قدیم سال شهرستان جمعیت نفر رشدجمعیت تراکم جمعیت زبان کردی مذهب مساحت کیلومتر مربع ارتفاع میانگین دما میانگین بارش سالانه شمارروزهای یخبندان فرماندار شماره وب شهر مهاباد سخ خلیفان بخش مرکزی مهاباد مرکزی سخ خلیفان مهاباد خلیفان شهرستان مهاباد کردی مه هاباد شهرستان مردم کردنشین
2,3017,ویکی پدیا حساب ساخت#ساز,وپ حساب ایجاد حساب کاربر ویکی پدیا حساب ساخت#ساز خواندن مقالات ویکی پدیا نیاز حساب کاربر داشت#دار ویرایش ویکی پدیا اکثر موارد حساب کاربر داشت#دار حساب کاربر ویکی پدیا انجام ویرایش ورود سامانه خاطر مزایا کاربر ویکی توصیه قطع دسترس
3,3021,دریاکنار رک,منبع پرونده بندانگشت نمایی دریاکنار رک
4,3022,استان بویره,استان الجزائر نام استان بویره نقشه پرونده کشور الجزائر مساحت جمعیت تراکم جمعیت شماره استان شماره تلفن فرمانداری‌ها شهرستان کد پست بویره نام استان دهم کشور الجزائر شهرستان شهرستان استان قرارند البویر الترک ایت لعزیز ال خضر قروم معال بودربال بوکرام الزبربر قادری عمر جباحی سوق الخمیس المقرانی بئر اغبالو الروراو الخبوزی
5,3023,تلمسان,تلمسان تلمسان شهر موقعیت تلمسان داخل استان تلمسان موقعیت تلمسان نقشه الجزایر فهرست کشور مستقل کشور استان الجزایر استان استان تلمسان تلمسان شهرستان الجزایر تلمسان سرشماری
6,3026,استان ادرار,استان الجزائر نام استان ادرار نقشه پرونده کشور الجزائر مساحت جمعیت تراکم جمعیت شماره استان شماره تلفن فرمانداری‌ها شهرستان کد پست ا درار نام استان بزرگ جنوب غرب الجزایر استان منطقه صحرا آفریقا واقع مرکز استان شهر ا درار جغرافیا خرد استان الجزایر رده استان ادرار رده استان الجزایر ادرار
7,3027,تونس,کاربرد جعبه اطلاعات کشور نام اصل جمهوری تونس نام عادی تونس تصویر پرچم تصویر نشان ملی شعار ملی سامانمندی آزاد دادگر سرود ملی ای پشتیبان کشور نقشه پایتخت تونس بزرگ شهر تونس زبان رسم زبان عرب عرب حاکمان رئیس جمهور سخ وزیر نام حاکمان محمد باج قائد سبسی سخ وسف الشاهد مساحت جمعیت شاخص توسعه انسان واحد پول دینار دینار تونس کد واحد پول منطقه زمان منطقه زمان تابستان
8,3029,آفریقا شمال,پرونده چپ آفریقا شمال طرح جغرافیا جهان سازمان ملل متحد منطقه مرتبط جغرافیایی سخ چپ راست صحرا غرب مراکش الجزایر تونس سخ لیبی مصر سودان سودان جنوبی راست چپ چاد نیجر مالی موریتانی قاره آفریقا شمال صحرا آفریقا قرار آفریقا شمال مرز دقیق ناحیه تعریف شد#شو درصد مردم آفریقا شمال نژاد سفید مدرک
9,3030,لیبی,روز جعبه اطلاعات کشور نام اصل لیبیا نام فارس رسم دولت لیبی نام عادی لیبی تصویر پرچم تصویر نشان ملی شعار ملی آزاد عدالت مردم سالار سرود ملی سرود ملی لیبی لیبیا لیبیا لیبیا نقشه پایتخت طرابلس لیبی طرابلس بزرگ شهر طرابلس لیبی طرابلس زبان رسم عرب حکومت جمهوری حاکمان شورا ملی انتقالی
10,3033,دریا مدیترانه,پرونده بندانگشت چپ سیما دریا میانه فضا عکس ناسا پرونده انگشتدان چپ ازهم گسیختن قاره پانجه آ شکل قاره دریا مدیترانه دریا مدیترانه دریا میانه درگذشته بحر روم بحر سفید مدخل بحرالروم دانشنامه جهان اسلام دریا یی اقیانوس اطلس متصل شمال توسط اروپا جنوب آفریقا شرق توسط آناتولی شام سرزمین شام فرا گرفت#گیر
11,3036,لاذقیه,لاذقیه الل اذ ق فهرست شهر سوریه شهر
12,3037,استان درعا,استان درعا م حافظ درعا فهرست استان سوریه استان آثار روم درعا
13,3039,مرد,ژانویه مسیر اکراد کاربرد ابهام زدایی روستا نام اکراد اکراد شیراز آرایه تصویر مرد میلیون
14,3041,روزنامه کردی,نشریه ک رد ایران نشریه کردستان میباشد سال سردبیر عبدالرزاق بدرخان وصاحب امتیاری اسماعیل اقای سمیتکو ارومیه منتشر میشد اهالی بوکان بنام ملا محمد قزلجی ترجان ترجانی دستور اسماعیل شکاک سال نام روز ک رد کردی نام کردستان شناخت#شناس ارومیه منتشر گردیده متون روزنامه جریانات روزگاراز جمله جنگ سمکو حکومت شاهنشاه
15,3043,تیروژ,منبع تیروژ کردی کرمانجی نام گاهنامه زبان کردی کرمانجی مارس سال میلاد انتشارات ا ر نس ل منتشر گشت#گرد واژه تیروژ معنی درخشش فروغ پیوند وب تیروژ رده نشریه رده نشریه کردی
16,3046,چیچست,چیچ ست چئی چسته معنی سپید درخشان امروزه روشن دریاچه کجا واقع احتمالا نام دریاچه ایران شرق نام دریاچه اوستا رابطه آناهیتا سرزمین قرار گرفت#گیر رود سیحون گذشت#گذر دریاچه آرال اوستا لفظ وئوروکشه یاد فرض شد#شو دریاچه آرال نام گوناگون دریاچه آرال توانست#توان دریاچه چیچست احتمال دریاچه خارج داشت#دار دین ایران باستان ص
17,3047,کیخسرو,کاربرد پرونده بندانگشت چپ نبرد سپاه ایران رهبر کیخسرو سپاه توران رهبر افراسیاب کیخسرو اساطیر حماسه ایران شاهنامه شاهنامه فردوس فرزند سیاوش پسر کاووس سیاوش فرنگیس فریگیس نوه کاووس پسر کیقباد کیکاووس افراسیاب نامدار شهریار دلاور واژه کیخسرو معنی شاه نیک نام کیخسرو عدالت شهامت سرآمد شاه کیان کیکاووس خوش نام کیکاووس شاهنامه اعمال موذیانه
18,3049,استان بورگاس,استان بورگاس سخ استان بولوار آلکو بوگوریدی استان بورگاس بلغارستان
19,3055,مکتشف جهان,تغییرمسیر فهرست جغرافی دانان
20,3056,جیمز کوک,جعبه زندگینامه نام شخص جیمز کوک نام تصویر عرض تصویر توضیح تصویر نام جوایز دریافتی لقب زمینه فعالیت دریانورد ملیت اهل دوره فعالیت محل زندگی مذهب نهاد همسر الیزابت باتس فرزند جیمز ناتانیل الیزابت جوزف جورج هیو والدین جیمز گریس آرامگاه مدفن نقش برجسته پیشه کاشف ملوان وب منصب سبک مکتب آثار تاریخ تولد اکتبر میلاد محل تولد مارتون یورکشایر سخ تاریخ مرگ فوریه میلاد سن سن
21,3058,زوارتنوتس تاریخ,کلیسا جامع زوارتنوتس ویرانه کلیسا جامع زوارتنوتس اچمیادزین واغارشاپات اچمیادزین استان آرماویر ارمنستان کلیسا حواری ارمنی
22,3059,فرودگاه المللی زوارتنوتس,فرودگاه المللی زوارتنوتس فرودگاه المللی زوارتنوتس موقعیت فرودگاه کشور ارمنستان المللی اداره هواپیما کشور ارمنستان ایروان زوارتنوتس ارمنستان ارمنستان
23,3060,درام ابهام زدایی,درام موارد اشاره دراما درام روایت رویداد هنر نمایش هنر نمایش نامه ادبیات نمایش دراماتیک فیلم درام نام ژانر سینما درام واحد پول واحد پول ارمنستان درام موسیقی ابهام زدایی
24,3061,درام واحد پول,پرونده درام چپ اسکناس پانصد درامی قدیم درام ارمنی نام واحد پول کشور ارمنستان واژه درام در پارس میانه زبان ارمنی پارس میانه واژه واژه زبان یونان یونان دراخما وام گرفت#گیر تلفظ گوناگون واژه خاورمیانه رواج در درهم درام امروز زبان ارمنی واژه در معنی پول ژوئیه میلاد دلار آمریکا دلار ایالات متحده آمریکا ایالات متحده آمریکا حدودا درام اسکناس چرخه اس
25,3065,اوگاریت,پادشاه اوگاریت محل ر س شمرا امروزی دیرینگی هزاره میلاد بازمی شمال غرب سوریه کیلومتر شمال شهر لاذقیه واقع باستان شناسان کاوش منطقه متون یافت#یاب زبان ناشناخته نوشته شد#شو متون نمونه خط الفبا جهان شمرد#شمار آمد#آ باستان شناسان فرانسوی سال میلاد کاوش کاوشگاه باستانی اوگاریت آغاز کرد#کن موفق کشف لوحه زبان اکدی زبان مرجع
