title,summary,link,tags,main_tag,sub_tag
پرترافیک جاده ایران پایان ممنوعیت تردد استان,رئیس مرکز اطلاعات کنترل ترافیک پلیس راهور ناجا افزایش تردد محور مواصلات استان کشور روز اردیبهشت خبر,https://www.hamshahrionline.ir/news/503910/پرترافیک-ترین-جاده-های-ایران-پس-از-پایان-ممنوعیت-ترددهای-بین-استانی,['اجتماع > سفر'],اجتماع,سفر
کاروان حج ششم تیر اعزام,معاون حج عمره سازمان حج زیارت اعلام صورت عادی شرایط شیوع ویروس کرونا کاروان زائر حج تمتع ششم تیر امسال راه سرزمین وحی شد#شو,https://www.hamshahrionline.ir/news/503441/نخستین-کاروان-حج-۹۹-ششم-تیر-اعزام-می-شود,['اجتماع > سفر'],اجتماع,سفر
ممنوعیت تردد استان لغو,رییس مرکز اطلاعات کنترل ترافیک پلیس راهور ناجا لغو ممنوعیت تردد استان کشور خبر,https://www.hamshahrionline.ir/news/503002/ممنوعیت-ترددهای-بین-استانی-لغو-شد,['اجتماع > سفر'],اجتماع,سفر
نکات ضدکرونایی سفر ضروری رعایت,فعالیت کسب وکارها مجبور شهر تردد مسافرت شهر حتما رعایت نکات بهداشت مباحث فاصله اجتماع رعایت,https://www.hamshahrionline.ir/news/502442/نکات-ضدکرونایی-که-باید-در-سفرهای-ضروری-رعایت-کنید,['اجتماع > سفر'],اجتماع,سفر
چطور فهمید#فهم ممنوع الخروجیم اطلاع ممنوع الخروجی فراهم,رییس پلیس مهاجرت گذرنامه نیرو انتظامی فراهم استعلام ممنوع الخروجی آینده خبر,https://www.hamshahrionline.ir/news/499583/چطور-بفهمیم-ممنوع-الخروجیم-امکان-اطلاع-از-ممنوع-الخروجی-فراهم,['اجتماع > سفر'],اجتماع,سفر
ممنوعیت تردد پلاک غیربومی کی ادامه,رئیس مرکز اطلاعات کنترل ترافیک راهور ناجا ممنوعیت زمان تردد پلاک غیربومی اعلام,https://www.hamshahrionline.ir/news/499530/ممنوعیت-تردد-پلاک-های-غیربومی-تا-کی-ادامه-دارد,['اجتماع > سفر'],اجتماع,سفر
مردم استان نوروز مازندران سفر تردد چقدر کاهش,تردد استان تعطیلات نوروز امسال مقایسه سال گذشته درصد کاهش,https://www.hamshahrionline.ir/news/498104/مردم-کدام-استان-ها-در-نوروز-بیشتر-به-مازندران-سفر-کردند-تردد,['اجتماع > سفر'],اجتماع,سفر
پیشنهاد وزیر گردشگری تعطیل کرونا,وزیر میراث فرهنگ گردشگری صنایع دست طرح پیشنهاد مهار کرونا تزریق نشاط جامعه روز تعطیل عموم اعلام معاون رییس جمهور درخواست هزار میلیارد ریال جبران خسارت کروناویروس صنعت گردشگری تخصیص داد#ده,https://www.hamshahrionline.ir/news/497814/پیشنهاد-وزیر-گردشگری-برای-تعیین-تعطیلی-پس-از-کرونا,['اجتماع > سفر'],اجتماع,سفر
وضعیت تردد محور برون شهر کشور شبانه روز گذشته,مرکز مدیریت راه کشور اعلام شبانه روز گذشته تردد محور برون شهر درصد کاهش,https://www.hamshahrionline.ir/news/496981/وضعیت-تردد-در-محورهای-برون-شهری-کشور-در-شبانه-روز-گذشته,['اجتماع > سفر'],اجتماع,سفر
کاهش درصدی تردد هزار خودرو شهر مبد بازنگشته‌اند,رئیس مرکز اطلاعات کنترل ترافیک پلیس راهور برآورد هزار وسیله نقلیه استان بازنگشته‌اند توصیه مؤکد موضوع موطن بازگردند,https://www.hamshahrionline.ir/news/496976/کاهش-۵۷-درصدی-ترددها-۳۰-هزار-خودرو-هنوز-به-شهرهای-مبدأ-بازنگشته-اند,['اجتماع > سفر'],اجتماع,سفر
